JobID|ExitCode|State|MaxRSS|Elapsed
13936577_142|0:0|COMPLETED||01:12:03
13936577_142.batch|0:0|COMPLETED|386313K|01:12:03
13936577_142.extern|0:0|COMPLETED|746K|01:12:17
13936577_143|0:0|COMPLETED||01:39:58
13936577_143.batch|0:0|COMPLETED|385835K|01:39:58
13936577_143.extern|0:0|COMPLETED|748K|01:40:05
13936577_144|0:0|COMPLETED||01:30:19
13936577_144.batch|0:0|COMPLETED|389785K|01:30:19
13936577_144.extern|0:0|COMPLETED|748K|01:30:27
13936577_145|0:0|COMPLETED||01:12:27
13936577_145.batch|0:0|COMPLETED|388711K|01:12:27
13936577_145.extern|0:0|COMPLETED|744K|01:13:05
13936577_146|0:0|COMPLETED||01:16:58
13936577_146.batch|0:0|COMPLETED|390378K|01:16:58
13936577_146.extern|0:0|COMPLETED|746K|01:16:58
13936577_147|0:0|COMPLETED||01:04:27
13936577_147.batch|0:0|COMPLETED|388173K|01:04:27
13936577_147.extern|0:0|COMPLETED|738K|01:04:27
13936577_148|0:0|COMPLETED||00:57:25
13936577_148.batch|0:0|COMPLETED|387936K|00:57:25
13936577_148.extern|0:0|COMPLETED|746K|00:57:25
13936577_149|0:0|COMPLETED||01:25:49
13936577_149.batch|0:0|COMPLETED|388027K|01:25:49
13936577_149.extern|0:0|COMPLETED|746K|01:25:49
13936577_150|0:0|COMPLETED||01:04:42
13936577_150.batch|0:0|COMPLETED|388157K|01:04:42
13936577_150.extern|0:0|COMPLETED|754K|01:04:42
13936577_151|0:0|COMPLETED||01:15:17
13936577_151.batch|0:0|COMPLETED|392810K|01:15:17
13936577_151.extern|0:0|COMPLETED|746K|01:15:17
13936577_152|0:0|COMPLETED||01:18:13
13936577_152.batch|0:0|COMPLETED|391775K|01:18:13
13936577_152.extern|0:0|COMPLETED|750K|01:18:14
13936577_153|0:0|COMPLETED||01:21:00
13936577_153.batch|0:0|COMPLETED|393782K|01:21:00
13936577_153.extern|0:0|COMPLETED|744K|01:21:01
13936577_154|0:0|COMPLETED||01:12:17
